ranking,nome_hotel,nota,titulo,texto,data,ano
5,Hotel Le Renard,5,Experiência incrível,Equipe atenciosa que a todo momento nos surpreendia positivamente. Apesar de termos chego antes da liberação para o check-in eles liberaram o serviço de transfer para podermos conhecer a cidade antes do quarto ser liberado. O hotel possui ótimas instalações e todos os dias foram incriveis. ,Ontem,ntem
5,Hotel Le Renard,5,Perfeito do início ao fim,"Só temos elogios ao hotel, desde o momento da reserva até o check out. Toda a equipe do hotel é maravilhosa. Fazem de tudo para tornar a estadia perfeita. E conseguem. Quarto espaçoso, limpeza impecável, café da manhã excelente. E o serviço de Transfer que o hotel oferece até à região do Capivari é um diferencial. Parabéns!!!",fev. de 2022,2022
5,Hotel Le Renard,5,Melhor hospedagem em Campos do Jordão!,"Como de hábito, excelente tratamento por parte dos funcionários, acomodação muito boa. O café da manhã é bem completo e os caldos à noite muito bons. O transfer do hotel até o centrinho é um diferencial do hotel. Ótima estada!",3 de jul.,jul.
5,Hotel Le Renard,5,Lugar maravilhoso! ,"Lugar maravilhoso, ótima recepção, comida bem feita, sauna, ótimo pra descansar. Se a piscina fosse mais quente e coberta seria perfeito. As crianças. adoraram, lugar muito gostoso. Volto lá com certeza... ",3 de jul.,jul.
5,Hotel Le Renard,5,Lugar perfeito para se hospedar,"Hotel maravilhoso!!!  Fomos muito bem acolhidos. Funcionários atenciosos, refeições ótimas. Excelente instalações. Quartos amplos, tudo muito organizado e limpo. Tivemos o privilégio de conhecer o proprietário e esposa, que nos recebeu muito bem!",2 de jul.,jul.
5,Hotel Le Renard,5,Melhor Hotel de Campos do Jordão,"Le renard  Nota máxima! Hotel impecável, localização perfeita, está perto do centrinho, mas ao mesmo tempo está num lugar tranquilo onde é possível ter uma vista linda. O atendimento é excelente e a comida é uma delícia. O hotel oferece café da manhã e a noite sopas e caldos, recomendo a todos! Segunda vez hospedada no hotel e estou encantada, Campos do Jordão e Hotel Le Renard são a combinação perfeita! Quero agradecer a atenção do Rafael, da Carol, do Marcelo, do Augusto, do Vinicius e toda equipe.  O hotel oferece estacionamento e transfer para ir ao centrinho.  Hotel 5 estrelas, obrigada pela experiência!",jun. de 2022,2022
5,Hotel Le Renard,5,Carlos Renato e Andrezza,"Foi nossa segunda vez nesse hotel, e olha que conhecemos muitos hotéis em Campos do Jordão. O atendimento e a cordialidade dos funcionários continuam os mesmos. Fomos almoçar no restaurante do hotel Ort e pude conversar com maître sobre a diferença que faz um hotel onde tem gestão e excelência no atendimento, comparando um com o outro. Um hotel de pequeno porte, como o Le Renard, entrega um serviço de uma qualidade bem superior ao Ort. Parabéns à toda equipe!!! Voltaremos em breve!!!",mai. de 2022,2022
5,Hotel Le Renard,5,Muito bom!!,"Estive com a minha família em um final de semana muito agradável. Funcionários muito atenciosos, tudo muito limpo e bem cuidado, refeições maravilhosas. Local apesar de ser bem próximo do centro é bem tranquilo. O único detalhe foi o sofá-cama para a minha filha ser um pouco desconfortável. Ótimo custo benefício.Voltaremos em breve com certeza!!!",mai. de 2022,2022
5,Hotel Le Renard,5,Mimos e excelente atendimento,"Se você quer mimos , o hotel Le Renard vai te proporcionar estes momentos . Chegamos na sexta feira e fomos recepcionados com espumante e canapés , no quarto um bilhete carinhoso com bombons , o frigobar é ilimitado e reposto diariamente ( apenas sugiro colocar opções diet ou light na geladeira ) , itens de higiene da Loccitane. Ganhamos uma degustação de vinho e chocolates … outro diferencial é o transfer gratuito até o centrinho . Meu marido falou que quantas vezes for para Campos do Jordão , ele ficará hospedado no Le Renard. Parabéns para a equipe do hotel, todos muito cordiais .",abr. de 2022,2022
5,Hotel Le Renard,5,Simplesmente Perfeito!!!,"Não conhecíamos ainda Campos do Jordão, mas nossa estadia foi maravilhosa! Fomos muito bem atendidos desde a reserva do hotel! Funcionários muito bem preparados, sempre simpáticos e prontos para ajudar! Muito bem localizado! O Transfer oferecido pelo hotel é diferenciado, atendimento rápido e seguro! Hotel lindo, limpíssimo e quarto impecável! O café da manhã é ótimo, sem falar dos mimos, dos lanches e sopas oferecidos como cortesia! Fomos em família e somos só elogios, minhas filhas amaram, nos sentimos em casa! Voltemos com toda certeza! Melhor hotel que já fomos!",abr. de 2022,2022
