nome_hotel,nota,titulo,texto,data
Hotel Colline de France,5,O melhor hotel,"Excelente o tratamento, limpeza, profissionalismo e comida. Fui muito bem cuidada. Os funcionários são solícitos é muito atenciosos! O hotel é lindo, charmoso e muito elegante. Quando voltar para Gramado, voltarei a me hospedar.",dez. de 2021
Hotel Colline de France,5,Acessibilidade para cadeirante,"Incrível! O Colline é muito mais que um hotel, é um momento, uma indescritível experiência, é um pequeno sonho na realidade. Quer se sentir especial? Vá ao Colline, não me atrevo a entender como funciona o treinamento das pessoas que trabalham lá, é diferente de tudo que já vi!   Pois bem, deixa eu falar sobre minha experiência. Em julho desse ano (2021) eu fiquei pela primeira vez no hotel, tinha que conhecer o melhor do mundo, estava entusiasmada, ansiosa, feliz e animada. Fomos, eu e meu esposo e logo na entrada já se sente a calmaria, você se sente quentinho e acolhido, te recebem com uma taça de espumante, sempre sorridentes e brilhantes (sim, os funcionários brilham) , você fala baixo instintivamente, é tudo tão calmo e sereno. Fomos conhecer o quarto e pronto! Quase",dez. de 2021
Hotel Colline de France,5,O melhor do mundo!! ,"A melhor experiência da minha vida!!  O atendimento, a estrutura, a comida e o conforto, são inigualáveis!! A atenção dispensada pelo gerente Márcio Santos e a menina da recepção ( não lembro o nome ) são incontestáveis!! Minha esposa implica comigo pois depois de me hospedar duas vezes no hotel eu digo que me sinto parte integrante da família COLLINE. ",dez. de 2021
Hotel Colline de France,5,Um sonho em forma de Hotel com funcionários muitíssimos educados e prestativos a todo momento. Não é a toa ele ser considerado o,Recepção cordial. Atendimento impecável e ambiente aconchegante e requintado. Esse é um Hotel muito lindo no estilo francês que rende fotos maravilhosas.  Uma ideal opção para casais que querem viver experiências maravilhosas mas também super indico para toda família. ,dez. de 2021
Hotel Colline de France,5,Irretocáveis!,"O hotel realmente entrega com excelência tudo o que se propõe. Estrutura incrível e atendimento sem igual! Indico sem dúvidas! O atendimento dos meninos do bistrô é fantástico, atenciosos, ágeis, sempre cordiais e discretos.",dez. de 2021
Hotel Colline de France,5,Encantamento digno de Disney,"Encantamento digno de Disney!  Ficamos encantado desde o primeiro contato, quando chegamos com a família, ao invés de pedirem os documentos, já me chamaram pelo nome, nos acomodaram numa mesa, serviram espumante de boas vindas e depois apresentei os documentos necessários . Os funcionários tem empatia com os clientes, se preocupam de fato com o atendimento, o quarto é impecável , limpam 2 vezes por dia, sempre colocam chá e alguns quitutes, além de recadinhos bonitinhos. O café da manhã é digno dos melhores hotéis do mundo mesmo, não servem almoço , apenas lanches, muito bons por sinal e feitos na hora. E o jantar saboreamos um risoto de camarão , com um vinho argentino La Finca malbec, perfeito.  Gostaria de deixar um abraço para o João , Eduardo , Júlio , Fabiano, os caras são",dez. de 2021
Hotel Colline de France,5,Surpeeendente!,"Hotel cuida de cada detalhe para agradar e acomodar o hóspede. Experiência imperdível!  Desde o café da manhã, passando pelo atendimento dos colaboradores e o cuidado com o cardápio, tudo perfeitamente planejado e executado. Exemplo a ser seguido, com certeza!",dez. de 2021
Hotel Colline de France,5,Experiência em Gramado,"Que hotel incrível, me sentir tão especial com os atendentes que hospitalidade fabulosa. Continue assim, vou voltar em breve e ficarei novamente nesse paraíso só que agora com mais dias no hotel. Obrigada vocês fizeram a minha viagem ser inesquecível. Nota mil pra vocês...",dez. de 2021
Hotel Colline de France,5,Meu presente de aniversário,"Eu me presenteie com uma estadia no Coline e amei tudo o que o hotel tem para oferecer.  O hotel é lindo, o estilo clássico romântico é especial, o café da manhã é um manjar dos Deuses, mas o que eu mais amei em tudo, foi o acolhimento dos funcionários, eles nos fazem sentir especiais, eu amei tudo aquilo e super recomendo.",dez. de 2021
Hotel Colline de France,5,Uma experiencia incrível,Ficamos impressionados com o atendimento..desde a chegada até a saída..a preocupação com nosso bem-estar é surreal..o café da manhã foi o melhor que ja tivemos na vida..parabéns a toda equipe do Colline.,dez. de 2021
