ranking,nome_hotel,nota,titulo,texto,data,ano
3,Hotel Refugio da Montanha,5,Super recomendo,Experiência perfeita em gramado. Excelente atendimento desde a recepção até o café da manhã. Várias cortesias inclusas. Ótima localização. Café da manhã super completo. Quarto suíte simples praticamente um quarto de luxo. Chuveiro ótimo. Tudo do bom,Hoje,Hoje
3,Hotel Refugio da Montanha,5,Felicidade e aconchego. Amei,"Hotel maravilhoso, decoração linda, funcionários excelentes, sem exceção. Café da manhã muito bom.Acomodação também maravilhosa, tudo funcionando bem.Boa localização.Ambientes aconchegantes, limpos. Bom astral dos funcionários.",Hoje,Hoje
3,Hotel Refugio da Montanha,5,Experiência muito boa.,"Equipe realmente muito atenciosa, desde a recepção, quanto café da manhã e bar.. Hotel oferece cortesias, chá da tarde, espumantes, música ao vivo no final de tarde. Localização boa, não tão no centro mas da pra ir a pé para a cidade. Gostei bastante.",Hoje,Hoje
3,Hotel Refugio da Montanha,5,"Hotel perfeito, atendimento de toda equipe incrível! Um dos melhores hotéis que me hospedei na vida!","Hotel simplesmente incrível, lindo, aconchegante, Fomos bem recepcionados do início ao fim, chegamos com café da tarde ( que era servido todos os dias e incluído) todos ganhamos cortesia de massagem relaxante nos pés, e foi maravilhosa, em uma sala super relaxante, todas as noites ganhávamos mimos, docinhos nos quartos, a equipe inteira do hotel de uma educação e simpatia sem igual! Café da manhã delicioso, brinquedoteca, e quando fomos embora ainda ganhamos kits de boa viagem com frutinhas e água para a viagem de gramado até Porto Alegre!",12 de jul.,jul.
3,Hotel Refugio da Montanha,5,Excelente!,"Hotel lindo, limpíssimo e todos os funcionários muito eficazes, simpáticos e cordiais! Jr, Ruan, Marcos, Carlos, Leo….infelizmente não lembro o nome de todos mas fica nossa gratidão por tanto respeito e carinho com nossa família!",9 de jul.,jul.
3,Hotel Refugio da Montanha,3,"Atendimento ótimo, porém com alguns percalços !","Hotel novo, lindo, estrutura impecável, funcionários super atenciosos.  Mas quanto a minha hospedagem no  Hotel Refúgio da Montanha …  Paguei um valor alto na hospedagem, que com certeza pagaria qualquer outra viagem internacional, mas paguei, pelo fato de que seria muito bem atendida.  Apesar dos esquecimentos de reposição de sabonetes, shampoos e toalhas de banho… Na noite do dia 27/06/22, às 21:00hrs cansados de um dia de passeio, qdo fui pedir o jantar para três pessoas, recebi a notícia da recepção de que não tinha ninguém na cozinha para preparar devido a uma confraternização deles fora do Hotel. Ficamos extremamente chateados e com fome, afinal eu nunca ia imaginar isso.  Ou o certo, seria que o Hotel Refúgio da Montanha, se programasse e não deixasse o hóspede",7 de jul.,jul.
3,Hotel Refugio da Montanha,5,Hotel maravilhoso!,"Lugar incrível e atendimento excelente! Nossa estadia foi ótima. Profissionais muito atenciosos, café da tarde e da manhã maravilhosos! Parabéns e continuem assim! Recomendamos muito e esperamos voltar!",3 de jul.,jul.
3,Hotel Refugio da Montanha,5,estadia,"Estadia maravilhosa, capricham em todos os detalhes. Desde a recepção, até a saída… O café da manhã é divino, bastante opções e delicioso. Tem dispenser de água quente para os hóspedes, a vontade. Ótimo para chás  e mates . Eu que tomo muito chá, foi perfeito  Meu pet foi super mimado, eles disponibilizam cama, tapete higiênico , comedouro e ele ainda ganhou biscoitos de petisco   😍",2 de jul.,jul.
3,Hotel Refugio da Montanha,5,Maravilhosa estadia em Gramado-RS,"Hotel muito aconchegante e confortável com uma equipe extremamente atenciosa e prestativa. Minha esposa e eu adoramos tudo!  Delicioso e bastante completo café da manhã; quarto excelente com ótima cama, calefação, ar condicionado e banheiro com uma ducha relaxante. Tudo muito limpo e com atenção aos mínimos detalhes! Só temos elogios ao hotel e a todos funcionários! Nossa estadia foi perfeita e pretendemos voltar muito em breve! ",jun. de 2022,2022
3,Hotel Refugio da Montanha,5,Final de semana do casamento.,"Tudo 100% desde a reserva até a nossa saída, tudo impecável e o atendimento de todos foi perfeito. Comida, café, café e limpeza nota 10. Nos sentimos muito amados por todos, foi o final de semana do nosso casamento, e com toda certeza o hotel Refugio da Montanha faz parte do nosso conto de fadas do dia mais importante das nossas vidas. Obrigado toda equipe. Voltaremos em breve.",jun. de 2022,2022
